Município,Não admitido ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
110001,659,27,41,45,21,55,137,35,77,166,77,40,8,1388
110002,4416,209,197,311,290,351,331,288,357,372,327,275,150,7874
110003,154,0,3,0,15,29,2,4,7,13,2,3,2,234
110004,4698,163,310,276,335,311,382,456,332,362,388,374,221,8608
110005,636,70,30,60,73,36,25,32,13,20,95,62,43,1195
110006,741,107,129,88,149,157,43,40,41,23,13,26,11,1568
110007,188,40,8,60,17,19,7,7,16,10,13,3,2,390
110008,245,3,1,9,22,27,42,8,6,60,16,2,8,449
110009,1108,62,36,39,72,66,64,74,77,64,66,65,15,1808
110010,1505,54,44,158,65,86,40,37,53,54,48,49,16,2209
110011,2947,100,76,126,100,139,210,178,176,224,210,172,73,4731
110012,8812,402,574,512,475,570,531,742,582,555,680,503,329,15267
110013,406,6,1,19,18,19,17,11,10,12,13,12,3,547
110014,408,2,3,12,6,4,55,15,6,7,5,10,2,535
110015,1914,63,49,167,196,140,103,131,116,140,198,160,121,3498
110018,2713,146,159,197,198,229,242,199,229,257,308,169,107,5153
110020,69555,1488,1566,1543,3959,4329,2070,2060,2216,2227,1960,1867,1256,96096
110025,751,43,37,43,50,52,45,35,100,34,21,26,11,1248
110026,47,19,9,3,3,3,4,1,8,1,11,3,0,112
110028,1923,61,112,164,131,143,517,189,187,110,125,110,52,3824
110029,282,26,49,20,18,16,78,25,45,15,3,4,5,586
110030,4875,264,283,311,357,351,386,420,331,371,569,234,173,8925
110032,287,4,7,2,12,3,11,9,16,224,9,10,4,598
110033,279,4,11,4,1,0,3,1,2,1,25,1,0,332
110034,439,49,25,55,31,51,58,34,137,14,20,15,3,931
110040,152,42,34,38,13,23,17,18,13,20,4,3,6,383
110050,110,0,0,5,3,0,1,1,1,1,6,0,0,128
110060,39,1,9,0,4,2,1,2,2,0,4,2,0,66
110070,111,30,22,5,12,13,19,42,63,222,42,36,0,617
110080,251,4,10,11,5,6,17,13,16,21,9,6,5,374
110090,121,6,9,3,2,8,9,2,13,3,12,2,5,195
110100,111,3,2,3,13,1,8,8,12,6,3,0,0,170
110110,260,6,5,4,17,14,8,13,9,7,4,3,1,351
110120,169,2,0,33,17,0,4,0,5,5,1,1,2,239
110130,191,1,9,62,3,11,28,5,6,3,82,16,8,425
110140,41,9,0,1,1,8,5,1,142,50,8,30,26,322
110150,75,26,3,47,1,5,15,0,4,78,6,10,4,274
110160,59,37,11,60,50,32,24,13,39,10,10,5,0,350
110170,221,2,3,4,0,1,3,2,2,2,1,8,2,251
110180,191,3,2,15,2,3,2,5,0,3,2,19,4,251
119999,9,125,79,175,140,64,45,44,28,47,17,28,9,810
120001,82,20,12,38,3,5,9,0,3,0,1,4,0,177
120005,131,0,0,0,2,0,0,0,0,0,0,0,0,133
120010,319,2,3,3,1,3,6,5,4,16,2,3,3,370
120013,131,12,1,6,2,34,10,11,6,24,1,4,5,247
120017,86,7,1,4,6,3,3,0,0,2,0,2,1,115
120020,1888,35,18,27,37,36,39,36,37,43,33,28,19,2276
120025,160,3,0,0,0,2,0,3,2,6,1,1,0,178
120030,300,9,0,3,13,12,1,2,2,8,1,1,2,354
120032,77,0,0,0,0,0,0,0,0,0,0,0,0,77
120033,92,7,0,10,1,1,3,1,1,14,0,0,0,130
120034,68,7,0,1,0,0,0,9,1,0,0,0,0,86
120035,88,1,1,1,0,1,1,0,0,0,0,0,0,93
120038,227,1,5,3,1,2,0,3,3,7,3,2,3,260
120039,96,3,0,0,1,0,1,1,1,3,0,1,0,107
120040,47559,1076,630,782,1067,948,1033,1151,810,706,838,840,560,58000
120042,58,0,2,0,0,0,0,0,0,11,0,0,0,71
120043,598,20,20,36,11,18,19,13,15,17,20,16,8,811
120045,401,16,10,10,9,7,7,15,5,7,3,7,7,504
120050,451,15,2,1,5,5,7,5,14,12,3,10,8,538
