Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;859;41;33;111;40;45;73;26;34;41;17;23;8;1351
110002;5233;233;278;504;430;377;455;420;368;457;421;267;229;9672
110003;266;4;2;6;2;10;14;3;2;3;3;1;0;316
110004;5667;238;394;396;395;437;442;359;382;363;496;323;220;10112
110005;882;22;32;61;18;114;102;49;49;51;22;36;14;1452
110006;906;62;100;65;71;45;61;40;22;28;27;9;10;1446
110007;270;4;28;18;9;36;17;13;10;13;2;4;8;432
110008;270;3;1;7;25;22;6;32;5;3;2;0;3;379
110009;1122;63;32;95;65;90;240;73;120;71;45;86;26;2128
110010;1764;54;90;44;39;31;37;39;35;30;38;27;20;2248
110011;3107;207;163;214;162;150;219;244;235;131;163;203;227;5425
110012;10585;440;545;586;578;643;613;573;688;566;512;490;445;17264
110013;406;11;15;59;29;23;16;13;25;144;36;7;3;787
110014;467;13;6;42;6;22;11;7;17;18;20;26;4;659
110015;2172;96;115;109;76;168;119;102;118;116;102;163;102;3558
110018;2991;111;186;131;177;200;203;141;210;147;209;142;120;4968
110020;80266;1453;1450;2118;1415;1631;1630;1654;1697;1537;1531;1446;1423;99251
110025;958;22;37;28;27;34;38;21;24;49;23;34;39;1334
110026;103;1;2;29;3;10;12;4;0;10;1;7;4;186
110028;2651;147;164;303;147;213;255;176;259;184;125;143;129;4896
110029;379;20;34;14;11;7;9;5;7;18;8;21;11;544
110030;5672;303;252;483;344;281;362;364;398;390;282;264;159;9554
110032;448;7;13;15;14;7;21;129;43;34;8;12;11;762
110033;370;25;26;5;8;7;11;7;7;17;16;29;12;540
110034;648;21;22;36;11;18;26;10;63;51;15;10;9;940
110037;150;2;5;3;3;6;5;1;4;2;2;4;3;190
110040;171;55;106;36;25;21;10;10;12;7;18;14;2;487
110045;213;4;50;72;31;80;166;25;53;38;97;28;14;871
110050;214;4;1;3;4;1;1;3;4;5;0;4;0;244
110060;131;12;29;11;7;3;3;1;11;3;2;1;2;216
110070;116;1;1;14;14;1;35;19;2;3;73;56;12;347
110080;285;8;14;7;9;18;11;11;6;14;10;6;12;411
110090;154;1;3;7;2;2;2;2;2;0;0;1;0;176
110092;345;22;20;20;25;37;49;23;37;36;21;8;3;646
110094;210;9;17;39;31;25;20;19;27;41;15;18;14;485
110100;204;3;2;26;25;9;1;9;2;5;4;3;1;294
110110;335;5;14;5;11;13;17;12;10;3;2;4;7;438
110120;163;6;3;67;9;5;11;6;2;1;1;7;1;282
110130;360;10;13;20;40;30;26;9;22;13;22;7;10;582
110140;353;5;44;18;18;23;43;18;13;40;38;45;1;659
110143;141;3;11;4;1;3;0;2;11;5;0;3;0;184
110145;100;0;2;1;6;4;1;2;7;2;1;0;0;126
110146;93;2;7;5;1;1;3;3;6;1;2;0;0;124
110147;104;0;0;10;7;1;9;3;0;0;0;1;1;136
110148;78;0;9;3;2;2;1;3;0;1;4;1;1;105
110149;161;6;8;80;1;5;25;167;74;53;25;15;5;625
110150;205;1;3;4;4;12;9;53;38;3;2;7;1;342
110155;42;11;3;2;0;2;12;8;2;1;1;1;7;92
110160;280;4;10;9;12;11;31;17;8;22;7;2;11;424
110170;272;8;27;37;21;4;20;4;4;13;4;5;14;433
110175;181;1;6;26;16;5;4;5;9;12;12;8;1;286
110180;191;10;2;17;1;3;5;2;24;2;5;3;4;269
120001;162;10;0;2;8;7;3;0;0;1;1;0;0;194
120005;95;0;0;0;0;0;1;2;0;0;0;0;0;98
120010;339;9;5;11;6;5;14;6;15;12;15;20;3;460
120013;213;6;8;5;8;5;30;29;13;15;12;5;3;352
120017;89;1;0;0;0;0;0;0;0;0;4;0;2;96
120020;2020;40;28;44;48;48;51;32;42;59;50;28;33;2523
120025;176;1;0;12;0;1;1;5;0;30;3;4;0;233
120030;65;1;0;0;0;0;6;2;1;1;0;0;0;76
120032;72;0;0;0;0;0;0;0;0;0;0;0;0;72
120033;183;0;0;2;0;2;1;0;0;0;0;0;0;188
120034;66;0;0;0;0;0;0;0;0;0;0;0;0;66
120035;4;0;0;0;0;0;0;0;1;0;0;0;0;5
120038;258;44;39;19;9;2;5;26;6;4;6;2;0;420
120039;94;0;0;0;0;0;0;0;0;0;0;0;0;94
120040;49633;789;806;1034;953;973;881;958;1142;936;863;832;819;60619
120042;139;1;1;0;0;1;0;1;1;0;0;0;2;146
120043;0;0;0;0;0;1;0;0;0;0;0;0;0;1
120045;393;7;14;4;11;6;8;5;16;15;19;4;8;510
120050;560;5;1;6;8;3;12;16;12;17;20;8;3;671
120060;554;5;11;14;5;4;9;4;4;0;13;2;1;626
120070;397;4;0;0;34;10;5;8;4;5;2;11;10;490
120080;3;1;0;0;0;0;0;0;0;0;1;0;0;5
130002;99;1;0;0;0;0;0;0;0;0;0;0;0;100
130006;111;1;0;23;0;6;0;0;0;0;0;0;0;141
130008;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130010;2;0;0;0;0;0;0;0;0;0;0;0;0;2
130014;201;4;0;0;0;0;3;0;5;2;0;1;0;216
130020;3;0;0;0;0;0;0;0;0;0;2;3;8;16
130030;92;0;0;0;1;1;1;0;0;0;0;0;0;95
130040;7;0;0;0;0;0;0;0;0;0;0;0;1;8
130050;137;0;0;1;13;3;2;7;3;1;0;0;0;167
130060;347;1;0;3;0;0;0;6;1;0;1;1;0;360
130063;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130068;144;0;0;0;0;0;0;0;0;0;0;0;0;144
130070;304;1;1;3;2;3;2;1;1;0;0;0;2;320
130080;150;1;0;1;0;0;0;0;0;2;0;0;0;154
130083;244;1;0;6;0;0;1;0;0;1;0;0;0;253
130090;4;0;0;0;0;0;0;0;0;0;0;0;0;4
130100;437;8;2;9;5;7;3;11;10;11;3;4;7;517
130110;344;0;3;3;0;1;1;1;0;0;0;0;0;353
130115;6;0;0;0;0;0;0;2;1;0;0;0;0;9
130120;3543;180;160;139;103;65;35;50;46;64;29;13;8;4435
130130;9;0;0;0;0;0;0;0;0;0;0;0;0;9
130140;251;0;8;5;1;1;5;0;2;1;0;0;0;274
130150;46;0;0;0;0;0;0;0;0;0;0;0;0;46
130160;76;0;0;0;0;0;0;0;0;0;0;0;0;76
130165;9;33;7;1;0;2;0;0;0;1;0;0;0;53
130170;1141;22;23;27;12;15;12;48;46;10;5;24;8;1393
130180;118;0;0;0;0;0;0;0;0;0;0;0;0;118
130185;797;22;39;20;15;28;30;10;31;146;49;16;7;1210
130190;3918;100;182;118;95;151;150;195;106;249;113;75;55;5507
130195;83;0;0;0;0;0;0;0;0;0;0;0;0;83
130200;5;0;0;0;0;0;0;0;0;0;0;0;0;5
130210;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130220;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130230;67;89;19;35;46;29;28;145;146;91;91;91;33;910
130240;226;0;1;0;1;0;1;0;1;0;0;0;7;237
130250;715;87;49;75;39;25;17;31;19;28;23;18;9;1135
130255;15;0;2;0;1;0;4;4;1;1;0;2;1;31
