Coluna;Mês Desligamento
Município;Não desligado ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110001;1715;82;66;57;62;51;58;66;50;63;57;50;139;2516
110002;11131;500;579;590;559;573;614;599;621;615;552;719;829;18481
110003;397;10;8;7;2;16;12;3;10;4;12;8;9;498
110004;10200;398;376;561;375;477;770;541;512;383;461;345;617;16016
110005;1430;68;77;44;74;108;100;73;80;59;44;36;113;2306
110006;1682;48;51;66;53;55;50;64;44;46;60;60;68;2347
110007;624;32;23;30;25;26;23;23;25;25;17;50;79;1002
110008;778;7;10;26;19;6;16;20;26;21;41;37;42;1049
110009;2939;129;110;333;133;202;191;157;163;115;118;149;152;4891
110010;2527;37;59;90;67;54;38;55;68;30;69;63;170;3327
110011;6577;272;312;388;333;311;310;351;387;341;319;488;317;10706
110012;17231;780;649;891;661;830;726;835;757;697;730;732;746;26265
110013;2089;62;88;112;64;109;111;127;145;115;120;120;163;3425
110014;1010;17;25;37;17;23;18;22;21;24;57;32;29;1332
110015;3769;95;122;176;132;158;175;180;158;166;186;123;141;5581
110018;5557;298;275;290;260;273;318;248;284;269;338;270;357;9037
110020;105101;1770;2004;2258;1836;2321;2098;2853;2264;2310;2055;2494;4056;133420
110025;1629;104;41;62;50;62;47;119;62;73;90;49;71;2459
110026;283;1;5;9;4;2;7;3;4;11;1;9;12;351
110028;5143;174;195;259;145;188;196;200;316;328;159;194;278;7775
110029;689;24;31;24;18;105;53;22;29;19;23;16;64;1117
110030;10612;542;516;662;556;642;533;503;712;448;422;541;588;17277
110032;1151;22;54;60;66;38;50;31;29;27;29;43;63;1663
110033;1170;14;30;52;33;66;26;20;36;28;42;61;124;1702
110034;1184;25;24;40;20;24;24;22;25;20;24;34;24;1490
110037;535;6;7;15;14;9;18;19;15;10;8;8;11;675
110040;810;14;27;19;16;32;35;27;26;24;10;13;51;1104
110045;2024;92;119;104;92;115;94;115;120;92;96;94;140;3297
110050;606;7;13;6;9;25;10;10;18;7;16;11;4;742
110060;343;85;6;10;12;8;12;2;6;1;9;6;5;505
110070;510;14;15;12;19;30;16;15;19;61;20;5;95;831
110080;886;51;25;27;21;52;43;23;23;25;12;18;24;1230
110090;291;3;7;4;6;10;5;13;6;8;6;8;47;414
