Coluna;Mês Desligamento
Município;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;{ñ class};Total
110001;83;85;93;77;58;66;64;88;62;68;107;131;2715;3697
110002;687;738;891;762;798;452;540;538;649;733;699;787;17534;25808
110003;17;16;28;22;23;41;18;15;9;31;15;63;675;973
110004;885;908;987;771;720;570;714;708;811;833;807;782;17526;27022
110005;70;74;96;108;71;57;66;62;62;75;76;86;2372;3275
110006;93;86;90;80;48;51;35;60;64;97;82;79;2387;3252
110007;46;80;100;69;38;42;58;50;43;34;52;50;1391;2053
110008;24;25;25;45;14;15;20;20;18;11;14;109;895;1235
110009;272;184;211;162;153;132;209;199;189;202;225;227;5070;7435
110010;105;101;95;105;93;88;61;73;82;87;109;170;3704;4873
110011;403;537;435;292;339;292;368;322;295;351;313;385;10230;14562
110012;1249;1448;1413;1253;1177;1181;1118;1155;1110;1064;1302;1091;27988;42549
110013;129;106;273;100;88;89;81;77;120;108;138;205;3250;4764
110014;81;54;61;56;48;35;55;47;36;56;56;93;1607;2285
110015;212;212;235;229;288;211;173;176;165;235;167;284;5896;8483
110018;349;378;520;470;403;294;348;387;377;411;393;327;9881;14538
110020;3723;4299;4900;3526;3107;2817;3206;3450;3450;3257;3464;3922;156350;199471
110025;101;94;123;104;113;124;116;96;90;88;78;127;2606;3860
110026;30;10;33;37;21;24;35;30;26;30;38;16;483;813
110028;429;513;495;517;329;437;396;415;679;471;569;400;11488;17138
110029;11;18;29;21;20;17;14;17;20;14;16;55;870;1122
110030;886;1004;1062;886;898;780;821;867;850;1054;1017;1004;22304;33433
110032;89;111;110;86;87;73;72;89;78;153;98;176;3288;4510
110033;52;60;39;39;48;52;44;50;31;56;49;155;1894;2569
110034;128;18;38;25;37;35;26;37;26;30;31;113;1280;1824
110037;21;45;31;12;11;21;21;18;12;22;19;51;1028;1312
110040;61;42;57;76;48;32;40;49;61;49;68;115;1306;2004
110045;127;125;238;137;90;79;137;112;99;133;113;231;3343;4964
